"As at 31","United States","Euro","Japanese","Sterling","SDR","Australian","Canadian","New","Other","Total"
"December","Dollars","","Yen","Pound","","Dollars","Dollars","Zealand","Currencies","All"
"","","","","","","","","Dollars","","Currencies"
"2021","","","","","","","","","",""
"","Rs.  000","Rs.  000","Rs.  000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs.  000"
"Foreign Currency","","","","","","","","","",""
"Financial Assets","","","","","","","","","",""
"Cash & Cash","","","","","","","","","",""
"","138,000,677","568,045","9,461,477","1,996,158","-","650,773","31,353","11,271","362,128,066","512,847,820"
"Equivalents","","","","","","","","","",""
"Securities at Fair","","","","","","","","","",""
"Value through Other","","","","","","","","","",""
"","8,818,244","-","-","-","-","-","-","-","-","8,818,244"
"Comprehensive","","","","","","","","","",""
"Income","","","","","","","","","",""
"Derivative Financial","","","","","","","","","",""
"","55,853","-","-","-","-","-","-","-","53,966,983","54,022,836"
"Instruments","","","","","","","","","",""
"IMF Related Assets","-","-","-","-","188,045,840","-","-","-","-","188,045,840"
"Other  Receivables","-","-","-","-","-","-","-","-","-","-"
"Total Foreign","","","","","","","","","",""
"Currency","146,874,774","568,045","9,461,477","1,996,158","188,045,840","650,773","31,353","11,271","416,095,049","763,734,740"
"Financial Assets","","","","","","","","","",""
"Proportion","19.23%","0.08%","1.24%","0.26%","24.62%","0.09%","0.00%","0.00%","54.48%","100.00%"
"Foreign Currency","","","","","","","","","",""
"Financial Liabilities","","","","","","","","","",""
"Banks and Financial","","","","","","","","","",""
"","13,641","-","-","-","-","-","-","-","60","13,701"
"Institutions","","","","","","","","","",""
"Derivative Financial","","","","","","","","","",""
"","-","-","-","-","-","-","-","-","1,139,323","1,139,323"
"Instruments","","","","","","","","","",""
"Asian Clearing","","","","","","","","","",""
"","104,764,616","-","-","-","-","-","-","-","-","104,764,616"
"Union","","","","","","","","","",""
"IMF","480,115","-","-","-","669,585,128","-","-","-","-","670,065,243"
"Other","41,662,689","-","-","-","-","-","-","-","315,632,987","357,295,676"
"Total Foreign","","","","","","","","","",""
"","146,921,061","-","-","-","669,585,128","-","-","-","316,772,370","1,133,278,559"
"Currency Financial","","","","","","","","","",""
"Liabilities","","","","","","","","","",""
"Proportion","12.97%","0.00%","0.00%","0.00%","59.08%","0.00%","0.00%","0.00%","27.95%","100.00%"
"Net Foreign","","","","","","","","","",""
"","(46,287)","568,045","9,461,477","1,996,158","(481,539,288)","650,773","31,353","11,271","99,322,679","(369,543,819)"
"Currency Exposure","","","","","","","","","",""
