"","","Annex II - 4",""
"","","Authorised Financial Institutions (As at end 2022)",""
"","","Licensed Finance Companies",""
"1.","Abans Finance PLC","20.","LOLC Finance PLC (h)"
"2.","Alliance Finance Co. PLC","21.","Mahindra Ideal Finance Ltd. (i)"
"3.","AMW Capital Leasing and Finance PLC","22.","Mercantile Investments & Finance PLC"
"4.","Asia Asset Finance PLC","23.","Merchant Bank of Sri Lanka & Finance PLC (j)"
"5.","Assetline Finance Ltd. (a)","24.","Multi Finance PLC (k)"
"6.","Associated Motor Finance Co. PLC","25.","Nation Lanka Finance PLC (l)"
"7.","Bimputh Finance PLC (b)","26.","Orient Finance PLC"
"8.","CBC Finance Ltd.","27.","People’s Leasing & Finance PLC"
"9.","Central Finance Co. PLC","28.","PMF Finance PLC(m)"
"10.","Citizens Development Business Finance PLC","29.","Richard Peiris Finance Ltd(n)"
"11.","Commercial Credit & Finance PLC","30.","Sarvodaya Development Finance PLC (o)"
"12.","Dialog Finance PLC","31.","Senkadagala Finance PLC"
"13.","ETI Finance Ltd. (c)","32.","Singer Finance (Lanka) PLC"
"14.","Fintrex Finance Ltd.","33.","Siyapatha Finance PLC"
"15.","HNB Finance PLC (d)","34.","SMB Finance PLC (p)"
"16.","Kanrich Finance Ltd. (e)","35.","Softlogic Finance PLC (q)"
"17.","Lanka Credit and Business Finance PLC(f)","36.","U B Finance Co. Ltd."
"18.","L B Finance PLC","37.","Vallibel Finance PLC"
"19.","LOLC Development Finance PLC (g)","",""
