"Column I","Column II"
"section of this Act","section of the principal enactment"
"2","5"
"4","12"
"5","14"
"6","16"
"11","66"
"18","87"
"21","92A"
"22","94"
"23","120"
"25","133"
"26","134"
"27","135"
"28","136"
"35(1) and (3)","195"
"36(1), (2), (3), (4) and (5)","subparagraphs (1A) and (1B) of paragraph 1, paragraphs"
"","3, 4, 5 and 7 of the First Schedule"
"37","subparagraph (6A) of paragraph 1 of the Second Schedule"
"38(1)","paragraph (gg) of the Third Schedule"
"40(1) and (2) Schedule","item (b) of subparagraph (4) of paragraph 1 and"
"","paragraphs 2,3,4,5,6,7,8 and 9 of the Sixth"
"41","new section"
