"CC","Cylinder Capacity","CNY","Chinese Yuan"
"CCAPS","Common Card and Payment Switch","COLA","Cost of Living Allowance"
"CCB","Capital Conservation Buffer","COLC","Cost of Living Committee"
"CCB","Coconut Cultivation Board","COP","Conference of the Parties"
"CCC","Ceylon Chamber of Commerce","COSTI","Coordinating Office for Science, Technology and"
"CCF","Colombo Commercial Fertilizer","","Innovation"
"CCP","Central Counter Party Clearing House","COVID-19","Coronavirus disease 2019"
"CCPI","Colombo Consumer Price Index","CP","Commercial Paper"
"CCTV","Closed Circuit Television","CPC","Ceylon Petroleum Corporation"
"CDA","Coconut Development Authority","CPC","Continuous Performance Criteria"
"CDB","China Development Bank","CPCECA","Colombo Port City Economic Commission Act"
"CDD","Customer Due Diligence","CPCIA","Colombo Port City Investment Account"
"CDMs","Cash Deposit Machines","CPCP","Colombo Port City Project"
"CDS","Credit Demand Survey","CPI","Consumer Price Index"
"CDS","Central Depository System","CPI","Corruption Perceptions Index"
"CE","Compensation of Employees","CPP","Climate Prosperity Plan"
"CEA","Central Environmental Authority","",""
"","","CPS","Common Point of Sale Switch"
"CEB","Ceylon Electricity Board","",""
"","","CPSTL","Ceylon Petroleum Storage Terminals Limited"
"CECB","Central Engineering Consultancy Bureau","",""
"","","CRF","Consolidated Revolving Fund"
"CEFTS","Common Electronic Fund Transfer Switch","",""
"","","CRI","Coconut Research Institute"
"CEMD","Confidential Enquiries into Maternal Deaths","",""
"","","CRIB","Credit Information Bureau"
"CEO","Chief Executive Officer","",""
"","","CRIMS","Credit Information Management System"
"CEP","Central Expressway Project","",""
"","","CRIP","Climate Resilience Improvement Project"
"CEPAs","Comprehensive Economic Partnership Agreements","",""
"","","CRM","Customer Relationship Module"
"CERA","Centre of Excellence in Robotics Applications","",""
"","","CRMs","Cash Recycling Machines"
"CESS","Commodity Export Subsidy Scheme","",""
"","","CSD","Central Securities Depository"
"CFC","Ceylon Fisheries Corporation","",""
"","","CSDDLS","Commercial Scale Dairy Development Loan"
"CFS","Consumer Finances and Socio-Economic Survey","",""
"","","","Scheme"
"CFL","Compact Florescent Lamp","",""
"","","CS-DRMS","Commonwealth Secretariat Debt Recording and"
"CFT","Countering the Financing of Terrorism","",""
"","","","Management System"
"CGI","Credit Guarantee Institution","",""
"","","CSE","Colombo Stock Exchange"
"CGSPA","Credit Guarantee Scheme for Pawning Advances","",""
"","","CSF","Complaint Submission Forms"
"CGS","Credit Guarantee Scheme","",""
"","","CSFTA","China - Sri Lanka Free Trade Agreement"
"CGT","Capital Gains Tax","",""
"","","CSRP","Colombo Suburban Railway Project"
"CHOGM","Commonwealth Heads of Government Meeting","",""
"","","CSS","Credit Supply Survey"
"CI","Confidence Interval","",""
"","","CTA","Colombo Tea Auction"
"CICT","Colombo International Container Terminal","",""
"","","CTC","Crush, tear, curl"
"CIDA","Construction Industry Development Authority","",""
"","","CTRs","Cash Transactions Reports"
"CIF","Cost, Insurance and Freight","",""
"","","CTRAs","Capital Transactions Rupee Accounts"
"CIFL","Central Investments and Finance PLC","",""
"","","CWDCS","Country Wide Data Collection System"
"CIMM","Central Integrated Market Monitor","",""
"","","DA","Documents against Acceptance"
"CIMS","Credit Information Management System","",""
"","","DAs","Designated Accounts"
"CINEC","Colombo International Nautical and Engineering","",""
"","","DAD-PP","Domestic Agriculture Development Project"
"","College","",""
"","","D-SIBs","Domestic Systemically Important Banks"
"CIT","Corporate Income Tax","",""
"","","DAPH","Department of Animal Production and Health"
"CIS","Commonwealth of Independent States","",""
"","","DBOT","Design, Build, Operate and Transfer"
"CITS","Cheque Imaging and Truncation System","",""
"","","DBUs","Domestic Banking Units"
"CKAH","Colombo-Kandy Alternate Highway","",""
"","","DC","Desiccated Coconut"
"CKDu","Chronic Kidney Disease of unknown aetiology","",""
"CKE","Colombo Katunayake Expressway","DCD","Dicyandiamide"
"CLFP","Commercial Leasing and Finance PLC","DCR","Development Control Regulations"
"CMA","Condominium Management Authority","DCS","Department of Census and Statistics"
"CMC","Colombo Municipal Council","DCTS","Developing Countries Trading Scheme"
"CMobS","Common Mobile Switch","DDA","Doha Development Agenda"
"CMPort","China Merchants Port Holdings Company","DDMC","Domestic Debt Management Committee"
"CNN","Cable News Network","DEA","Department of Export Agriculture"
