"","","Outstanding Public Debt (as at end year)","","",""
"","","2018","2019","2020","2021 (a)"
"","Rs. million","","","",""
"","Total Outstanding Central Government Debt (b)","12,030,548","13,031,543","15,117,247","17,589,373"
"","Outstanding Balance of Foreign Project Loans Received by SOBEs without Public Guarantee","366,130","345,453","323,510","311,191"
"","Airport & Aviation Services (Sri Lanka) Ltd.","24,964","22,317","22,189","21,833"
"","Ceylon Electricity Board","168,649","150,418","136,720","128,026"
"","Sri Lanka Ports Authority","172,517","172,717","164,602","161,332"
"","Public Guaranteed Debt (c) (d)","781,741","778,305","986,391","1,506,743"
"","Airport & Aviation Services (Sri Lanka) Ltd.","10,829","16,532","34,801","115,332"
"","Bank of Ceylon & People's Bank","n.a.","n.a.","n.a.","36,540"
"","Ceylon Electricity Board","21,376","25,212","70,559","89,311"
"","Ceylon Petroleum Corporation","333,869","297,220","345,500","561,267"
"","Ceylon Shipping Corporation Ltd.","13,098","12,613","12,505","12,263"
"6","General Sir John Kotelawala Defence University","36,843","35,311","35,562","35,738"
"","Lanka Coal Company (Pvt.) Ltd.","11,000","5,398","9,692","13,899"
"","","","","",""
"","National Water Supply & Drainage Board","85,541","102,339","138,180","200,851"
"","Paddy Marketing Board","11,436","11,420","2,023","1,313"
"","Road Development Authority","189,022","206,563","262,015","349,895"
"","SriLankan Airlines Ltd.","31,981","32,083","43,530","60,336"
"","Other Corporations","36,746","33,615","32,023","29,998"
"","Public Debt","13,178,418","14,155,301","16,427,148","19,407,307"
"","As a Percentage of GDP (e)","","","",""
