"","","","","","","Table 8.11","",""
"","","comprised  of  36  LFCs3  and  1  SLC  and","","there","","","",""
"","","","","","","Status of Moratoria granted to COVID-19 affected","",""
"","","","","","","","",""
"","3 Excluding ETI Finance Limited.","","","","","borrowers since March 2020","",""
"","","","","","","","Total capital",""
"","","Table 8.9","","","","","outstanding","Total capital"
"","","","","","","No. of","",""
"","","Distribution of Branches of LFCs and SLCs by Province","","","","","at the time of","outstanding as"
"","","","","","Phase of moratoria","approved","",""
"","","","","","","","granting the","at 31.12.2022"
"","","","","Movement","","requests","",""
"","Province","End 2021","End 2022 (a)","","","","moratorium","(Rs. bn)"
"","","","","during the year","","","",""
"","","","","","","","(Rs. bn)",""
"","Central","184","193","9","","","",""
"","Eastern","142","154","12","Phase 1 (Mar 2020- Sep 2020)","814,336","312.61","44.58"
"","North Central","111","120","9","Phase 2 (Oct 2020- Mar 2021)","99,912","59.93","11.82"
"","North Western","180","187","7","","","",""
"","","","","","Phase 3 (Apr 2021- Sep 2021)","492,734","168.14","68.41"
"","Northern","119","139","20","","","",""
"","Sabaragamuwa","122","127","5","Phase 4 (Oct 2021- Mar 2022)","54,387","37.63","17.16"
"","Southern","178","193","15","Phase 5 (Jul 2022- Jan 2023)","42,283","20.19","32.62"
"","Uva","82","91","9","","","",""
"","","","","","Total","1,503,652","n.a *","174.58"
"8","Western","589","630","41","","","",""
"","","","","","* Same borrower may have","","Source: Central Bank of Sri Lanka",""
"","Total","1,707","1,834","127","","","",""
"","","","","","","","",""
"","(a) Provisional","","","Source: Central Bank of Sri Lanka","obtained moratoria under several","","",""
"","","","","","Schemes.","","",""
